"Name","Pin","Function","Drive Capacity","IRQ","Mode","Output type","Pull up","Port Capabilities"
"AVCC0","P8","ANALOG0_AVCC0","","","","","",""
"AVCCUSBHS","H13","USBHS0_AVCC","","","","","",""
"AVSS0","N9","ANALOG0_AVSS0","","","","","",""
"AVSSUSBHS","G15","USBHS0_AVSS","","","","","",""
"P000","R12","","","","Disabled","","","ACMPHS0: IVCMP
ADC0: AN00
ICU0: IRQ06"
"P001","P11","","","","Disabled","","","ACMPHS1: IVCMP
ADC0: AN01
ICU0: IRQ07"
"P002","N12","","","","Disabled","","","ACMPHS2: IVCMP
ADC0: AN02
ICU0: IRQ08"
"P003","L10","","","","Disabled","","","ADC0: PGAVSS0"
"P004","M11","","","","Disabled","","","ACMPHS3: IVCMP
ADC1: AN00
ICU0: IRQ09"
"P005","R11","","","","Disabled","","","ACMPHS4: IVCMP
ADC1: AN01
ICU0: IRQ10"
"P006","P10","","","","Disabled","","","ACMPHS5: IVCMP
ADC1: AN02
ICU0: IRQ11"
"P007","L9","","","","Disabled","","","ADC1: PGAVSS0"
"P008","N11","","","","Disabled","","","ADC0: AN03
ICU0: IRQ12"
"P009","R10","","","","Disabled","","","ADC0: AN04
ICU0: IRQ13"
"P010","M10","","","","Disabled","","","ADC1: AN03
ICU0: IRQ14"
"P011","N10","","","","Disabled","","","ADC1: AN04
ICU0: IRQ15"
"P014","M9","","","","Disabled","","","ACMPHS0: IVREF
ACMPHS1: IVREF
ACMPHS2: IVREF
ACMPHS3: IVREF
ACMPHS4: IVREF
ACMPHS5: IVREF
ADC0: AN05
ADC1: AN05
DAC0: DA"
"P015","M8","","","","Disabled","","","ACMPHS0: IVCMP
ACMPHS1: IVCMP
ACMPHS2: IVCMP
ACMPHS3: IVCMP
ACMPHS4: IVCMP
ACMPHS5: IVCMP
ADC0: AN06
ADC1: AN06
DAC1: DA
ICU0: IRQ13"
"P100","R1","","","","Disabled","","","AGT0: AGTIO
BUS_ASYNCH_BUS_SDRAM0: D_DQ00
GLCDC0: LCD_EXTCLK
GPT_POEG0: GTETRG
ICU0: IRQ02
IIC1: SCL
KINT0: KRM0
SCI0: RXD
SCI0: SCL
SCI1: SCK
SPI0: MISO"
"P101","P1","","","","Disabled","","","AGT0: AGTEE
BUS_ASYNCH_BUS_SDRAM0: D_DQ01
GLCDC0: LCD_CLK
GPT_POEG1: GTETRG
ICU0: IRQ01
IIC1: SDA
KINT0: KRM1
SCI0: SDA
SCI0: TXD
SCI1: CTS
SPI0: MOSI"
"P102","N1","","","","Disabled","","","ADC0: ADTRG
AGT0: AGTO
BUS_ASYNCH_BUS_SDRAM0: D_DQ02
GLCDC0: LCD_TCON0
GPT_OPS0: GTOWLO
GPT2: GTIOCB
KINT0: KRM2
SCI0: SCK
SPI0: RSPCK"
"P103","N2","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ03
GLCDC0: LCD_TCON1
GPT_OPS0: GTOWUP
GPT2: GTIOCA
KINT0: KRM3
SCI0: CTS
SPI0: SSL0"
"P104","N3","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ04
GLCDC0: LCD_TCON2
GPT_POEG1: GTETRG
ICU0: IRQ01
KINT0: KRM4
SCI8: RXD
SCI8: SCL
SPI0: SSL1"
"P105","M3","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ05
GLCDC0: LCD_TCON3
GPT_POEG0: GTETRG
ICU0: IRQ00
KINT0: KRM5
SCI8: SDA
SCI8: TXD
SPI0: SSL2"
"P106","L4","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ06
GLCDC0: LCD_DATA00
GPT8: GTIOCB
KINT0: KRM6
SCI8: SCK
SPI0: SSL3"
"P107","K4","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ07
GLCDC0: LCD_DATA01
GPT8: GTIOCA
KINT0: KRM7
SCI8: CTS"
"P108","B2","DEBUG0_TMS","Low","","Peripheral mode","CMOS","None","DEBUG0: SWDIO
DEBUG0: TMS
GPT0: GTIOCB
SCI9: CTS
SPI1: SSL0"
"P109","B1","DEBUG0_TDO","Low","","Peripheral mode","CMOS","None","CAN1: CTX
CGC0: CLKOUT
DEBUG0: TDO
DEBUG0: TRACESWO
GPT_OPS0: GTOVUP
GPT1: GTIOCA
SCI9: SDA
SCI9: TXD
SPI1: MOSI"
"P110","C2","DEBUG0_TDI","Low","None","Peripheral mode","CMOS","None","ACMP(0-5): VCOUT
CAN1: CRX
DEBUG0: TDI
GPT_OPS0: GTOVLO
GPT1: GTIOCB
ICU0: IRQ03
SCI2: CTS
SCI9: RXD
SCI9: SCL
SPI1: MISO"
"P111","C1","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A05
GLCDC0: LCD_DATA12
GPT3: GTIOCA
ICU0: IRQ04
SCI2: SCK
SCI9: SCK
SPI1: RSPCK"
"P112","C3","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A04
GLCDC0: LCD_DATA11
GPT3: GTIOCB
SCI2: SDA
SCI2: TXD
SSI0: SSISCK"
"P113","D3","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A03
GLCDC0: LCD_DATA10
SCI2: RXD
SCI2: SCL
SSI0: SSIWS"
"P114","E4","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A02
GLCDC0: LCD_DATA09
SSI0: SSIRXD"
"P115","E3","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A01
GLCDC0: LCD_DATA08
SSI0: SSITXD"
"P200","B8","","","","Disabled","","","ICU0: NMI"
"P201","C8","","","","Disabled","","","SYSTEM0: MD"
"P202","A12","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: WR_BC1
CAN0: CRX
ETHERC_MII0: ERXD2
GLCDC0: LCD_TCON3
GPT5: GTIOCB
ICU0: IRQ03
SCI2: SCK
SCI9: RXD
SCI9: SCL
SDHI0: DAT6
SPI1: MISO"
"P203","B12","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A19
CAN0: CTX
CTSU0: TSCAP
ETHERC_MII0: COL
GPT5: GTIOCA
ICU0: IRQ02
SCI2: CTS
SCI9: SDA
SCI9: TXD
SDHI0: DAT5
SPI1: MOSI"
"P204","D11","","","","Disabled","","","AGT1: AGTIO
BUS_ASYNCH_BUS_SDRAM0: A18
CAC0: CACREF
CTSU0: TS00
ETHERC_MII0: RX_DV
GPT_OPS0: GTIW
GPT4: GTIOCB
IIC0: SCL
SCI4: SCK
SCI9: SCK
SDHI0: DAT4
SPI1: RSPCK
SSI1: SSISCK
USB_FS0: OVRCURB"
"P205","C12","","","","Disabled","","","AGT1: AGTO
BUS_ASYNCH_BUS_SDRAM0: A16
CGC0: CLKOUT
CTSU0: TSCAP
ETHERC_MII0: WOL
ETHERC_RMII0: WOL
GPT_OPS0: GTIV
GPT4: GTIOCA
ICU0: IRQ01
IIC1: SCL
SCI4: SDA
SCI4: TXD
SCI9: CTS
SDHI0: DAT3
SPI1: SSL0
SSI1: SSIWS
USB_FS0: OVRCURA"
"P206","G9","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: WAIT
CTSU0: TS01
ETHERC_MII0: LINKSTA
ETHERC_RMII0: LINKSTA
GPT_OPS0: GTIU
ICU0: IRQ00
IIC1: SDA
SCI4: RXD
SCI4: SCL
SDHI0: DAT2
SPI1: SSL1
SSI1: SSIDATA
USB_FS0: VBUSEN"
